"SDOH_VAR","pe","ee1","ee2"
"D2B_E8MIXA",7.68616230349291,4.28299037416788,6.36010037128709
"D2B_RANKED",2.99573227355399,2.13794192168115,2.93879181886872
"D2C_TRIPEQ",7.69393732550927,4.27716520150638,6.35080839423601
"D2C_TRPMX1",7.71154897962915,4.28960153353819,6.3706461086789
"D2C_TRPMX2",7.70796153183549,4.28875554268402,6.3692966332111
"D2R_JOBPOP",7.45645455517621,3.50615222818261,5.12171861490711
"D2R_WRKEMP",7.4489161025442,3.505496286324,5.12067229455728
"D3A",7.71199650704767,4.28963810906654,6.37070445183709
"D3AAO",7.33236920592906,3.74922264458119,5.50907799967926
"D3AMM",7.66762609158499,4.22925776126834,6.27447019014819
"D3APO",7.71199650704767,4.28963810906654,6.37070445183709
"D3B",7.71199650704767,4.28963810906654,6.37070445183709
"D3BAO",7.21744343169653,3.42577509204988,4.99350567637669
"D3BMM3",7.59085212368858,4.09900938183391,6.06677840678975
"D3BMM4",7.50384074669895,3.87997165472679,5.71740643669904
"D3BPO3",7.68982866873648,4.27569650585665,6.34846561625064
"D3BPO4",7.57609734062311,3.85612678669915,5.67927333432543
"D3B_RANKED",2.99573227355399,2.04790640802636,2.79517239756071
"D4A",5.63478960316925,0.379623547075981,0.138436898454231
"D4A_RANKED",2.19722457733622,0.353412857028992,0.0966271282443872
"D4B025",3.04452243772342,0.297440960380212,0.00749783726204268
"D4B050",3.49650756146648,0.300617763361206,0.0125571926715767
"D4C",4.27666611901606,0.374040195258617,0.129530659966569
"D4D",5.97126183979046,0.39227346328695,0.158615309972822
"D4E",5.96357934361845,0.392216132538605,0.158523859293349
"D5AE",7.66340766489348,4.26346857821362,6.32896033638272
"D5AR",7.66481578528574,4.27193300533487,6.34246229883633
"D5BE",5.84932477994686,0.38173196588977,0.14180012567002
"D5BR",5.84643877505772,0.381707517332892,0.14176112675228
"D5CE",7.4593388952203,3.50580525151567,5.12116513788355
"D5CEI",7.44949800538285,3.48642776542908,5.09025529769725
"D5CR",7.4593388952203,3.50648238037995,5.1222452545141
"D5CRI",7.45124168498768,3.49058951343385,5.09689387636263
"D5DE",5.85220247977447,0.381747033815393,0.141824161149693
"D5DEI",5.84932477994686,0.381726278595402,0.141791053628413
"D5DR",5.85220247977447,0.381747033815393,0.141824161149693
"D5DRI",5.85220247977447,0.381747033815393,0.141824161149693
"E5_ENT",5.78996017089725,2.62118560992881,3.70977171407529
"E5_IND",6.08904487544685,3.42443786223721,4.99064394990207
"E5_OFF",5.71373280550937,2.92096374674896,4.18756367186322
"E5_RET",5.8171111599632,2.93391298319415,4.20838146500017
"E5_SVC",6.35957386867238,3.66333485870742,5.37166188820184
"E8_ED",5.61312810638807,2.15274217438611,2.96329090077536
"E8_ENT",5.78996017089725,2.62118560992881,3.70977171407529
"E8_HLTH",5.90808293816893,3.11925408044197,4.50393775919612
"E8_IND",6.08904487544685,3.42443786223721,4.99064394990207
"E8_OFF",5.47646355193151,2.6641013907504,3.77789653180221
"E8_PUB",5.2040066870768,1.83523831832748,2.45706198195978
"E8_RET",5.8171111599632,2.93391298319415,4.20838146500017
"E8_SVC",5.72031177660741,2.99985575583678,4.31343191050637
"EPL_AGE17",5.78074351579233,4.80925300096114,4.81395942057222
"EPL_AGE65",5.82894561761021,4.87060087664282,4.87538341959496
"EPL_CROWD",4.85981240436167,3.44428799315159,3.44730342867982
"EPL_DISABL",5.67332326717149,4.82580323625193,4.83053029648039
"EPL_GROUPQ",5.09375020080676,3.62909447849748,3.63233765179061
"EPL_HBURD",6.06842558824411,5.08489909747725,5.0899474641689
"EPL_LIMENG",4.77912349311153,2.55451116116285,2.55642406458154
"EPL_MINRTY",6.36475075685191,5.04375216781723,5.04874966191452
"EPL_MOBILE",5.75257263882563,4.62498295490509,4.62946168159446
"EPL_MUNIT",5.89164421182577,3.94021410066734,3.94384304156262
"EPL_NOHSDP",5.66988092298052,4.87967251548362,4.88446636693037
"EPL_NOVEH",5.54517744447956,4.57910886896919,4.58352980597112
"EPL_POV150",6.24997524225948,5.19943670872741,5.204627160411
"EPL_SNGPNT",5.28320372873799,4.55239174152873,4.55677955951956
"EPL_UNEMP",5.14166355650266,4.37147115285766,4.37563446185893
"EPL_UNINSUR",5.62040086571715,4.70987255200694,4.7144556640291
"EP_AFAM",5.8406416573734,4.26648250677299,4.270515995772
"EP_AGE17",5.78074351579233,4.80925300096114,4.81395942057222
"EP_AGE65",5.83188247728352,4.87313932724259,4.87792501946579
"EP_AIAN",4.18965474202643,2.04886512335477,2.05015199034072
"EP_ASIAN",5.05624580534831,3.19569778483926,3.19840432682584
"EP_CROWD",4.85981240436167,3.44428799315159,3.44730342867982
"EP_DISABL",5.67332326717149,4.82580323625193,4.83053029648039
"EP_GROUPQ",5.11198778835654,3.63429851849752,3.63754814806463
"EP_HBURD",6.06842558824411,5.08489909747725,5.0899474641689
"EP_HISP",5.73009978297357,4.11759592936725,4.12144434130591
"EP_LIMENG",4.77912349311153,2.55451116116285,2.55642406458154
"EP_MINRTY",6.36475075685191,5.04375216781723,5.04874966191452
"EP_MOBILE",5.75257263882563,4.62498295490509,4.62946168159446
"EP_MUNIT",5.89164421182577,3.94021410066734,3.94384304156262
"EP_NHPI",3.87120101090789,0.701446092850322,0.701070341848804
"EP_NOHSDP",5.66988092298052,4.87967251548362,4.88446636693037
"EP_NOINT",5.91079664404053,5.01363698075378,5.0185969242265
"EP_NOVEH",5.54517744447956,4.57910886896919,4.58352980597112
"EP_OTHERRACE",3.95124371858143,1.16892660398178,1.16912827187745
"EP_POV150",6.24997524225948,5.19943670872741,5.204627160411
"EP_SNGPNT",5.28320372873799,4.55239174152873,4.55677955951956
"EP_TWOMORE",4.79579054559674,4.05536569532548,4.05913706465424
"EP_UNEMP",5.14166355650266,4.37147115285766,4.37563446185893
"EP_UNINSUR",5.62040086571715,4.70987255200694,4.7144556640291
"E_HIWAGEWK",6.31354804627709,3.59857275400334,5.26836523691303
"E_LOWWAGEWK",6.20859002609663,3.60277053384203,5.27505319529841
"E_MEDWAGEWK",6.38856140554563,3.72221495184995,5.46560018483311
"E_PCTLOWWAGE",7.51643330291563,4.21344801385973,6.24917043777061
"F_AGE17",0.693147180559945,0.0937026785420186,0.0925788004446227
"F_AGE65",0.693147180559945,0.208853485007457,0.207871454166662
"F_CROWD",0.693147180559945,0.0737916474719753,0.0726428378252786
"F_DISABL",0.693147180559945,0.362010661017967,0.361216887057555
"F_GROUPQ",0.693147180559945,0.515724313585429,0.515118232036335
"F_HBURD",0.693147180559945,0.209762689599482,0.208779749299608
"F_LIMENG",0.693147180559945,0.00599685690024641,0.00476439794904376
"F_MINRTY",0.693147180559945,0.0106014780177932,0.00937474517815702
"F_MOBILE",0.693147180559945,0.274179980543569,0.273278024039102
"F_MUNIT",0.693147180559945,0.0928022352331457,0.091676700301192
"F_NOHSDP",0.693147180559945,0.0504287235007909,0.0492513069773267
"F_NOVEH",0.693147180559945,0.148214464746894,0.147157203483418
"F_POV150",0.693147180559945,0.247479762767492,0.246543750227464
"F_SNGPNT",0.693147180559945,0.238214574530006,0.237267175288715
"F_THEME1",1.79175946922805,0.544152551719518,0.543580996903099
"F_THEME2",1.38629436111989,0.624508940641149,0.62403721308284
"F_THEME3",0.693147180559945,0.0106014780177932,0.00937474517815702
"F_THEME4",1.6094379124341,0.753807130194807,0.753494842001481
"F_TOTAL",2.30258509299405,1.23842584751299,1.23870981160283
"F_UNEMP",0.693147180559945,0.201076917849995,0.200084335156808
"F_UNINSUR",0.693147180559945,0.147189341692064,0.146131038013974
"GROUPQUARTERSFLAG",0.693147180559945,0.26932778570572,0.0069229661844392
"HH",6.70196036600254,3.94884198947261,5.82708627837105
"HUNVFLAG",0.693147180559945,0.626580459998941,0.534053794030713
